# Faculty whose CSRankings roster name differs from their publication-table name.
# Generated 2026-08-22T17:34:20.242Z by scripts/sync-nsf-roster-names.mjs.
# The publication-table name is what the site matches on; edit a row to correct a resolution.
faculty_name,roster_name,affiliation
Kirstin H. Petersen,Kirstin Petersen,Cornell University
Krishna Kumar Venkatasubramanian,Krishna K. Venkatasubramanian,University of Rhode Island
Kristin Yvonne Rozier,Kristin Y. Rozier,Iowa State University
Kylie A. Peppler,Kylie Peppler,Univ. of California - Irvine
Latifur R. Khan,Latifur Khan,University of Texas at Dallas
Laura Dabbish,Laura A. Dabbish,Carnegie Mellon University
Laurie Williams,Laurie A. Williams,North Carolina State University
Lenore J. Cowen,Lenore Cowen,Tufts University
Liguo Huang,LiGuo Huang,Southern Methodist University
Lilly C. Irani,Lilly Irani,Univ. of California - San Diego
Linh Thi Xuan Phan,Linh T. X. Phan,University of Pennsylvania
Loren Terveen,Loren G. Terveen,University of Minnesota
Mahdi Nasrullah Al-Ameen,Mahdi N. Al-Ameen,Utah State University
Maja Mataric,Maja J. Mataric,University of Southern California
Mani B. Srivastava,Mani Srivastava 0001,Univ. of California - Los Angeles
Mark A. Hasegawa-Johnson,Mark Hasegawa-Johnson,Univ. of Illinois at Urbana-Champaign
Mark A. Horowitz,Mark Horowitz,Stanford University
Marti Hearst,Marti A. Hearst,Univ. of California - Berkeley
Martin J. Strauss,Martin Strauss 0001,University of Michigan
Marty A. Humphrey,Marty Humphrey,University of Virginia
Matthew Gombolay,Matthew C. Gombolay,Georgia Institute of Technology
Matthew C. Caesar,Matthew Caesar 0001,Univ. of Illinois at Urbana-Champaign
Matthew Guthaus,Matthew R. Guthaus,Univ. of California - Santa Cruz
Mehmet C. Vuran,Mehmet Can Vuran,University of Nebraska
Mehmet E. Belviranli,Mehmet Esat Belviranli,Colorado School of Mines
Melody M. Jackson,Melody Moore Jackson,Georgia Institute of Technology
Michael Saks 0001,Michael E. Saks,Rutgers University
Michael Gowanlock,Michael G. Gowanlock,Northern Arizona University
Michael Lewis,Michael J. Lewis,University of Pittsburgh
Michael Kazhdan,Michael M. Kazhdan,Johns Hopkins University
Michael Jantz,Michael R. Jantz,University of Tennessee
Michael Horn 0001,Michael S. Horn,Northwestern University
Michael T. Tolley,Michael Thomas Tolley,Univ. of California - San Diego
Michelle A. Borkin,Michelle Borkin,Northeastern University
Ming-Deh Huang,Ming-Deh A. Huang,University of Southern California
Mohammad T. Hajiaghayi,Mohammad Hajiaghayi,Univ. of Maryland - College Park
Nam Wook Kim,Nam Sung Kim,Boston College
Narain Gehani,Narain H. Gehani,NJIT
Neil T. Dantam,Neil Dantam,Colorado School of Mines
Neil T. Spring,Neil Spring,Univ. of Maryland - College Park
Neil Gong 0001,Neil Zhenqiang Gong,Duke University
Nicholas A. Diakopoulos,Nicholas Diakopoulos,Northwestern University
Nicholas J. Hopper,Nicholas Hopper,University of Minnesota
Nikolaos P. Papanikolopoulos,Nikolaos Papanikolopoulos,University of Minnesota
Nikolay A. Atanasov,Nikolay Atanasov 0001,Univ. of California - San Diego
Nikos P. Chrisochoides,Nikos Chrisochoides,Old Dominion University
Oliver A. Kennedy,Oliver Kennedy,University at Buffalo
Parth Pathak 0001,Parth H. Pathak,George Mason University
Patrick H. Winston,Patrick Henry Winston,Massachusetts Inst. of Technology
Pavan K. Turaga,Pavan Turaga,Arizona State University
Peter Milder,Peter A. Milder,Stony Brook University
Peter Sadowski,Peter J. Sadowski,University of Hawaii at Manoa
Prabhanjan Ananth,Prabhanjan Vijendra Ananth,Univ. of California - Santa Barbara
Pravesh K. Kothari,Pravesh Kothari,Princeton University
Purushotham Bangalore,Purushotham V. Bangalore,University of Alabama - Birmingham
Qi Rose Yu,Qi Yu 0001,Univ. of California - San Diego
R. C. Sekar 0001,R. Sekar 0001,Stony Brook University
Rada Y. Chirkova,Rada Chirkova,North Carolina State University
